stock,ticker,market cap,beta,price,sector
"BlackLine, Inc.",BL,$1.81B,1.43,251.79,n/a
Principal Real Estate Income Fund,PGZ,$126.34M,0.03,868.87,n/a
"Eldorado Resorts, Inc.",ERI,$1.53B,1.91,875.57,Consumer Services
"Maxim Integrated Products, Inc.",MXIM,$13.07B,0.85,776.03,Technology
"ServisFirst Bancshares, Inc.",SFBS,$1.96B,0.77,159.38,Finance
Inphi Corporation,IPHI,$1.54B,1.03,975.7,Technology
Harmonic Inc.,HLIT,$430.84M,1.84,206.69,Technology
Geopark Ltd,GPRK,$449.75M,0.59,396.29,Energy
Axis Capital Holdings Limited,AXS^D,n/a,0.75,669.71,n/a
Fairmount Santrol Holdings Inc.,FMSA,$882.34M,1.99,539.13,Basic Industries
"RigNet, Inc.",RNET,$303.87M,1.64,951.99,Consumer Services
ManpowerGroup,MAN,$7.22B,0.15,836.87,Technology
FinTech Acquisition Corp. II,FNTEW,n/a,0.61,257.9,Finance
"Mota Group, Inc.",MOTAW,n/a,0.85,416.23,n/a
Internap Corporation,INAP,$273.47M,1.4,196.12,Technology
"First Interstate BancSystem, Inc.",FIBK,$2.13B,0.42,662.58,Finance
Alphabet Inc.,GOOG,$650.09B,0.45,711.38,Technology
"T. Rowe Price Group, Inc.",TROW,$17.7B,0.03,88.46,Finance
"Ooma, Inc.",OOMA,$148.93M,0.47,441.25,Technology
Medigus Ltd.,MDGS,$4.76M,0.03,594.22,Health Care
"51job, Inc.",JOBS,$2.67B,1.03,962.33,Technology
"Greenlight Reinsurance, Ltd.",GLRE,$771.24M,0.17,796.23,Finance
Norbord Inc.,OSB,$2.59B,1.19,868.35,Basic Industries
"The First Bancshares, Inc.",FBMS,$257.87M,1.28,186.76,Finance
Qwest Corporation,CTZ,n/a,0.74,509.13,Public Utilities
Eaton Vance Tax-Advantaged Bond,EXD,$113.57M,1.83,12,n/a
"Escalade, Incorporated",ESCA,$182.92M,1.66,948.27,Consumer Non-Durables
Party City Holdco Inc.,PRTY,$1.83B,0.33,229.23,Consumer Services
Kimco Realty Corporation,KIM^J,n/a,1.36,161.66,n/a
Vornado Realty Trust,VNO^I,n/a,1.59,14.45,n/a
Heska Corporation,HSKA,$658.44M,0.41,612.66,Health Care
"Strata Skin Sciences, Inc.",SSKN,$6.36M,1.98,439.27,Health Care
AllianzGI Diversified Income & Convertible Fund,ACV,$214.54M,1.71,950.57,n/a
Equity Residential,EQR,$25.18B,0.98,879.4,Consumer Services
Pacific Coast Oil Trust,ROYT,$61.73M,0.09,233.07,Energy
The Medicines Company,MDCO,$2.68B,0.64,928.86,Health Care
RAIT Financial Trust,RFTA,n/a,0.08,366.55,Consumer Services
ORBCOMM Inc.,ORBC,$789.19M,1.7,39.72,Consumer Services
Ivy NextShares,IVFGC,n/a,0.95,239.09,n/a
Repros Therapeutics Inc.,RPRX,$9.14M,1.16,418.74,Health Care
Flaherty & Crumrine Preferred Income Fund Incorporated,PFD,$173.59M,0.92,363.46,n/a
"Rand Logistics, Inc.",RLOG,$6.7M,0.69,250.82,Consumer Services
Thermo Fisher Scientific Inc,TMO,$68.41B,1.94,492.62,Capital Goods
"Twenty-First Century Fox, Inc.",FOX,$50.2B,1.27,403.95,Consumer Services
SemiLEDS Corporation,LEDS,$9.54M,1.43,579.49,Technology
Danaos Corporation,DAC,$153.72M,0.57,15.67,Transportation
JinkoSolar Holding Company Limited,JKS,$586.51M,0.03,212.96,Technology
"Central Europe, Russia and Turkey Fund, Inc. (The)",CEE,$164.46M,1.84,203.23,n/a
"Inogen, Inc",INGN,$1.9B,1.31,71.08,Health Care
Sohu.com Inc.,SOHU,$1.77B,1.89,974.69,Technology
Elbit Systems Ltd.,ESLT,$5.29B,0.33,628.81,Capital Goods
Nuveen New York AMT-Free Quality Municipal,NRK,$1.16B,0.09,518.08,n/a
"Nuance Communications, Inc.",NUAN,$5.24B,0.96,334.36,Technology
"Prosperity Bancshares, Inc.",PB,$4.59B,0.75,464.56,Finance
Acceleron Pharma Inc.,XLRN,$1.15B,1.48,132.54,Health Care
"FTI Consulting, Inc.",FCN,$1.34B,1.44,639.86,Consumer Services
Brightcove Inc.,BCOV,$213.5M,1.61,502.26,Technology
Crown Castle International Corporation,CCI,$37.04B,1.35,308.95,Consumer Services
PIMCO Dynamic Income Fund,PDI,$1.43B,0.03,457.14,n/a
Royal Bank Scotland plc (The),RBS^L,n/a,0.66,925.3,n/a
"ADOMANI, Inc.",ADOM,n/a,1.9,285.05,n/a
PACCAR Inc.,PCAR,$22.91B,1.08,784.05,Capital Goods
"Coastway Bancorp, Inc.",CWAY,$91.14M,1.04,824.88,Finance
iShares S&P Global Timber & Forestry Index Fund,WOOD,$264.23M,1.54,8.07,n/a
"Kinder Morgan, Inc.",KMI,$42.84B,0.68,71.02,Public Utilities
Blackrock New York Municipal Income Quality Trust,BSE,$87.89M,0.18,376.96,n/a
Morgan Stanley China A Share Fund Inc.,CAF,$474.83M,0.18,4.11,n/a
"Maiden Holdings, Ltd.",MHNC,n/a,1.59,951.4,Finance
Capital One Financial Corporation,COF.WS,n/a,0.41,604.37,n/a
iShares GNMA Bond ETF,GNMA,$174.89M,1.92,333.14,n/a
Civeo Corporation,CVEO,$264.02M,1.24,915.75,Consumer Services
OFG Bancorp,OFG^B,n/a,1.39,68.25,n/a
"AmTrust Financial Services, Inc.",AFSI,$2.76B,0.66,560.17,Finance
"Fresh Del Monte Produce, Inc.",FDP,$2.51B,0.41,776.03,Consumer Non-Durables
"PennTex Midstream Partners, LP",PTXP,$812.25M,1.09,345.91,Public Utilities
HP Inc.,HPQ,$29.21B,1.35,847.29,Technology
"ARC Group Worldwide, Inc.",ARCW,$61.78M,1.88,516.58,Capital Goods
Special Opportunities Fund Inc.,SPE,$128.56M,1.61,43.31,n/a
"C.H. Robinson Worldwide, Inc.",CHRW,$9.87B,0.71,745.45,Transportation
Nuveen Arizona Quality Municipal Income Fund,NAZ,$167.96M,1.86,42.27,n/a
"HomeStreet, Inc.",HMST,$806.79M,1,223.25,Finance
"The Habit Restaurants, Inc.",HABT,$402.04M,1.42,711.82,Consumer Services
"OSI Systems, Inc.",OSIS,$1.4B,0.31,713.68,Technology
"Banco Santander, S.A.",SAN^C,n/a,0.89,500.9,n/a
Giga-tronics Incorporated,GIGA,$7.64M,0.48,984.75,Capital Goods
Neonode Inc.,NEON,$60.57M,1.18,597.29,Capital Goods
Rayonier Advanced Materials Inc.,RYAM,$705.42M,0.3,607.23,Basic Industries
"Kforce, Inc.",KFRC,$498.13M,1.51,925.9,Technology
Chesapeake Energy Corporation,CHK^D,n/a,0.09,498.12,n/a
Triple-S Management Corporation,GTS,$403.79M,0.93,434.91,Finance
Eagle Materials Inc,EXP,$4.55B,0.72,564.68,Capital Goods
Black Box Corporation,BBOX,$117.47M,0.42,541.13,Technology
Zions Bancorporation,ZIONW,n/a,0.58,105.1,Finance
Pembina Pipeline Corp.,PBA,$13.23B,1.56,161.13,Energy
CNA Financial Corporation,CNA,$13.17B,0.1,886.68,Finance
The Providence Service Corporation,PRSC,$631.2M,1.03,183.98,Consumer Services
"Sky Solar Holdings, Ltd.",SKYS,$72.37M,1.2,540.21,Public Utilities
China Recycling Energy Corporation,CREG,$11.63M,1.97,838.29,Miscellaneous
SLM Corporation,SLM,$4.52B,0.44,424.09,Finance
"HRG Group, Inc.",HRG,$3.77B,1.62,769,Miscellaneous
Norfolk Souther Corporation,NSC,$34.52B,0.73,917.42,Transportation
"Banco Santander, S.A.",SAN^A,n/a,0.3,460.05,n/a
